wl,n
3.26,21.09
3.27,21.20
3.29,21.30
3.31,21.41
3.32,21.52
3.34,21.63
3.36,21.74
3.38,21.85
3.39,21.96
3.41,22.07
3.43,22.19
3.45,22.30
3.47,22.42
3.49,22.54
3.50,22.66
3.52,22.78
3.54,22.90
3.56,23.02
3.58,23.15
3.60,23.28
3.62,23.40
3.64,23.53
3.66,23.66
3.68,23.79
3.70,23.93
3.73,24.06
3.75,24.20
3.77,24.33
3.79,24.47
3.81,24.61
3.84,24.75
3.86,24.90
3.88,25.04
3.90,25.19
3.93,25.34
3.95,25.49
3.98,25.64
4.00,25.79
4.03,25.95
4.05,26.11
4.08,26.27
4.10,26.43
4.13,26.59
4.16,26.76
4.18,26.92
4.21,27.09
4.24,27.26
4.26,27.44
4.29,27.61
4.32,27.79
4.35,27.97
4.38,28.15
4.41,28.34
4.44,28.52
4.47,28.71
4.50,28.90
4.53,29.10
4.56,29.30
4.60,29.50
4.63,29.70
4.66,29.90
4.70,30.11
4.73,30.32
4.77,30.53
4.80,30.75
4.84,30.97
4.87,31.19
4.91,31.42
4.95,31.65
4.99,31.88
5.02,32.12
5.06,32.35
5.10,32.60
5.14,32.84
5.19,33.09
5.23,33.34
5.27,33.60
5.31,33.86
5.36,34.13
5.40,34.40
5.45,34.67
5.49,34.95
5.54,35.23
5.59,35.51
5.64,35.80
5.69,36.10
5.74,36.40
5.79,36.71
5.84,37.01
5.89,37.33
5.95,37.65
6.00,37.98
6.06,38.31
6.11,38.64
6.17,38.99
6.23,39.33
6.29,39.69
6.35,40.05
6.42,40.42
6.48,40.79
6.55,41.17
6.61,41.56
6.68,41.95
6.75,42.36
6.82,42.76
6.90,43.18
6.97,43.61
7.05,44.04
7.12,44.48
7.20,44.93
7.28,45.39
7.37,45.86
7.45,46.34
7.54,46.82
7.63,47.32
7.72,47.83
7.81,48.35
7.90,48.88
8.00,49.42
8.10,49.97
8.20,50.53
8.31,51.11
8.42,51.70
8.53,52.30
8.64,52.92
8.76,53.55
8.88,54.20
9.00,54.86
9.13,55.53
9.26,56.23
9.39,56.94
9.53,57.66
9.67,58.41
9.82,59.17
9.97,59.96
10.13,60.76
10.29,61.59
10.45,62.44
10.63,63.31
10.80,64.20
10.99,65.13
11.17,66.07
11.37,67.05
11.57,68.05
11.78,69.08
12.00,70.15
12.23,71.25
12.46,72.38
12.71,73.55
12.96,74.76
13.23,76.01
13.50,77.30
13.79,78.63
14.09,80.02
14.40,81.46
14.73,82.95
15.07,84.49
15.43,86.10
15.81,87.78
16.20,89.52
16.62,91.34
17.06,93.24
17.52,95.23
18.00,97.32
18.52,99.50
19.06,101.80
19.64,104.20
20.25,106.80
20.91,109.50
21.60,112.30
22.35,115.40
23.15,118.60
24.00,122.10
24.93,125.80
